from,to
wb,dpa
wb,rnd
wb,fdp
ct,bmvg
ct,k3
ct,ard
ac,bmvg
ac,k3
cho,bka
cho,k3
cho,dsp
cho,faz
mk,bmi
mk,k3
nk,bmf
nk,k3
fl,bmf
fl,k3
fl,ard
fl,hbl
fl,tas
bb,bmwe
bb,k3
rs,bmwe
rs,k3
jm,bmleh
jm,k3
jm,dpa
eg,bmleh
eg,k3
eg,loz
rz,bmz
rz,k3
rz,loz
nf,bmz
nf,k3
us,bmu
us,k1
us,taz
bl,bmv
bl,k3
bl,fdp
skr,bmjv
skr,k3
hk,bmg
hk,k3
hk,axsp
ph,bmg
ph,k3
msc,bmu
msc,k3
msc,loz
msc,union
mkl,bmb
mkl,k3
mkl,axsp
mkl,dbwv
fh,bmas
fh,k3
ts,bmas
ts,k3
aka,bmb
aka,k3
aka,rtl
aka,wdr
shi,bmv
shi,bmds
shi,dp
shi,k1
shi,k2
shi,bka
shi,union
tj,k1
tj,bmb
ka,bmg
ka,k1
jg,k1
jg,bmleh
jg,k1
jg,faz
jg,sz
ju,k1
ju,bmleh
ju,lor
dg,k1
dg,bmwe
dg,union
bg,bmi
bg,k1
cb,aa
cb,k1
bn,bmvg
bn,k1
jf,k1
jf,bmvg
cwi,k1
cwi,bka
cwi,dlf
cwi,sz
gs,k1
gs,bka
gs,ste
gs,axsp
gs,loz
ssh,k1
ssh,bka
ssh,lor
ssh,union
mf,k1
mf,bka
mf,wdr
mf,zdf
mf,axsp
mf,foc
ud,k1
ud,bka
ud,rbb
ud,zdf
ud,sz
ud,dsp
ud,foc
ss,k1
ss,bka
ss,zdf
ss,union
k1,union
k2,union
k3,spd
2c,wdr
2c,30c
3c,31c
4c,43c
5c,rtl
5c,33c
6c,axsp
6c,34c
7c,35c
8c,36c
9c,37c
10c,37c
11c,37c
12c,37c
13c,37c
14c,44c
14c,28c
15c,28c
15c,38c
16c,41c
17c,30c
18c,foc
18c,33c
19c,42c
19c,39c
20c,40c
21c,40c
21c,dpa
22c,40c
23c,40c
24c,40c
24c,29c
25c,35c
26c,40c
MGb,staab
MGb,gruene
ABb,staab
NEAb,innb
CDb,innb
SEb,fib
SEb,swr
SEb,zdf
JBb,fib
JSb,kulb
JSb,dsp
JSb,ap
JSb,taz
JSb,mm
FSb,kulb
FSb,loz
RBb,wissb
RBb,dpa
RBb,loz
MSb,wissb
MSb,sz
SBb,umwb
CHb,umwb
CHb,loz
ASb,wirtb
ASb,loz
ASb,loz
MISb,wirtb
MJb,sozib
MJb,taz
MJb,az
CKb,sozib
CKb,gruene
AHb,justizb
JKb,justizb
BHb,verkb
BHb,gruene
WBb,verkb
WBb,stz
WBb,dpa
WBb,loz
JEb,ernaeb
JEb,union
SSb,ernaeb
RWb,wohnb
RWb,stn
RHb,staab
RHb,gruene
DBb,wissb
AAb,justizb
AAb,union
GCb,justizb
ENb,verkb
ENb,dpa
BRb,kulb
BRb,jrv
BRb,kick
HLb,kulb
BJb,umwb
BJb,gruene
BJb,loz
BJb,loz
IKb,ernaeb
IKb,union
RSb,justizb
RSb,union
MEJb,wirtb
KLb,wirtb
RHeb,umwb
RHeb,swr
CSb,kulb
CSb,spd
MASb,fib
AMb,fib
JNHb,fib
MRb,fib
SWb,wirtb
SWb,axsp
EGb,kulb
ERb,kulb
ERb,stz








